Year,Species,Breed,Gender,Where_Bitten
2010,Dog,Unknown(Dog),Female,Body
2010,Dog,Unknown(Dog),Male,Head
2010,Dog,Unknown(Dog),Unknown,Body
2010,Cat,Cat(No Breeds),Female,Body
2010,Dog,Unknown(Dog),Unknown,Body
2010,Dog,Unknown(Dog),Female,Head
2010,Cat,Cat(No Breeds),Unknown,Body
2010,Dog,Unknown(Dog),Female,Body
2010,Dog,Unknown(Dog),Male,Head
2010,Dog,Unknown(Dog),Male,Body
2010,Dog,Unknown(Dog),Female,Body
2010,Dog,Unknown(Dog),Unknown,Body
2010,Dog,Unknown(Dog),Female,Head
2010,Dog,Unknown(Dog),Male,Body
2010,Dog,Unknown(Dog),Male,Body
2010,Dog,Unknown(Dog),Male,Head
2010,Dog,Unknown(Dog),Female,Body
2010,Dog,Unknown(Dog),Unknown,Body
2010,Cat,Cat(No Breeds),Unknown,Body
2010,Cat,Cat(No Breeds),Unknown,Body
2010,Dog,Unknown(Dog),Unknown,Head
2010,Dog,Unknown(Dog),Male,Body
2010,Dog,Unknown(Dog),Male,Head
2010,Dog,Unknown(Dog),Female,Head
2010,Dog,Unknown(Dog),Male,Body
2010,Dog,Unknown(Dog),Male,Body
2010,Dog,Unknown(Dog),Male,Body
2010,Cat,Cat(No Breeds),Unknown,Body
2010,Dog,Unknown(Dog),Unknown,Body
2010,Dog,Unknown(Dog),Male,Body
2010,Dog,Unknown(Dog),Male,Head
2010,Cat,Cat(No Breeds),Female,Body
2010,Dog,Unknown(Dog),Male,Body
2010,Dog,Unknown(Dog),Male,Body
2010,Cat,Cat(No Breeds),Male,Body
2010,Dog,Unknown(Dog),Male,Body
2010,Dog,Unknown(Dog),Male,Body
2010,Dog,Unknown(Dog),Female,Head
2010,Cat,Cat(No Breeds),Male,Body
2010,Dog,Unknown(Dog),Unknown,Body
2010,Dog,Unknown(Dog),Male,Head
2010,Cat,Cat(No Breeds),Female,Head
2010,Dog,Unknown(Dog),Female,Body
2010,Dog,Unknown(Dog),Female,Body
2010,Dog,Unknown(Dog),Male,Body
2010,Dog,Unknown(Dog),Male,Body
2010,Cat,Cat(No Breeds),Unknown,Body
2010,Dog,Unknown(Dog),Unknown,Body
2010,Dog,Unknown(Dog),Unknown,Body
2010,Dog,Unknown(Dog),Female,Body
2010,Dog,Unknown(Dog),Female,Head
2010,Dog,Unknown(Dog),Female,Body
2010,Dog,Unknown(Dog),Male,Head
2010,Dog,Unknown(Dog),Female,Body
2010,Dog,Unknown(Dog),Unknown,Head
2010,Cat,Cat(No Breeds),Female,Body
2010,Dog,Unknown(Dog),Male,Body
2010,Dog,Unknown(Dog),Male,Body
2010,Cat,Cat(No Breeds),Male,Head
2010,Dog,Unknown(Dog),Male,Head
2010,Dog,Unknown(Dog),Male,Body
2010,Dog,Unknown(Dog),Male,Body
2010,Cat,Cat(No Breeds),Male,Body
2010,Dog,Unknown(Dog),Male,Body
2010,Dog,Unknown(Dog),Male,Head
2010,Cat,Cat(No Breeds),Unknown,Body
2010,Dog,Unknown(Dog),Male,Body
2010,Dog,Unknown(Dog),Unknown,Body
2010,Dog,Unknown(Dog),Unknown,Body
2010,Dog,Unknown(Dog),Male,Body
2010,Dog,Unknown(Dog),Male,Head
2010,Dog,Unknown(Dog),Unknown,Body
