,One_BR,Two_BR,Three_BR,Four_BR
128428,-143.1439722246499,-114.75891167106442,-153.48121929768627,-205.877230029455
128429,-75.12192776533928,-107.25427082680544,-141.59827414323487,-189.54082971860726
128430,-62.234094335506306,-103.46060152005813,-136.26078369598022,-175.53324992528016
128431,-57.91320609147844,-98.97115529967695,-130.1231924380979,-166.26018875834467
128432,-54.87973366232326,-94.49105803437496,-124.07253875984738,-158.39968183820991
128433,-52.156266753615874,-90.24592499613937,-118.35789591725397,-151.16798980060946
128434,-49.61709349051544,-86.2625205841533,-112.9990966796608,-144.41157248243405
128435,-47.240725424418066,-82.53169186542597,-107.98067613154845,-138.08744573292557
128436,-45.01566701756397,-79.03820501390815,-103.28159040052682,-132.16604782593765
128437,-42.93216699438953,-75.7669889948679,-98.88148859983268,-126.62141240730672
128438,-40.981169188075825,-72.70383739339535,-94.7612517681224,-121.42941972936492
128439,-39.154198418363585,-69.83544168030392,-90.90297766414595,-116.56751034421568
128440,-37.44332101462067,-67.14934362060298,-87.28990882074147,-112.01456916960427
128441,-35.84111064711754,-64.63388183971847,-83.90635972477963,-107.75083186774755
128442,-34.339659641706255,-62.27702658289011,-80.73610960622275,-103.75557225676827
128443,-32.933640550024386,-60.0696816749796,-77.76699645694038,-100.01400044288951
128444,-31.616804244580308,-58.002337823155855,-74.98620164408257,-96.50975234887454
128445,-30.38343016966509,-56.06604789975644,-72.38168591760139,-93.2276271255012
128446,-29.22530877751966,-54.2490866788131,-69.93755787268735,-90.14673498534901
128447,-28.140980178890764,-52.546970101252754,-67.64800525476703,-87.26135597764211
128448,-27.125290564405073,-50.95251585041821,-65.503283678066,-84.5585754629888
128449,-26.173802278034426,-49.45886263914478,-63.494150253407014,-82.02665426928351
128450,-25.282404075789433,-48.059565859729084,-61.61193429503966,-79.65465544108496
128451,-24.44725175130655,-46.74859006755956,-59.8485173304974,-77.43234812741775
128452,-23.6647473108575,-45.52028551503061,-58.19629994787503,-75.35015665454573
128453,-22.93152293084578,-44.36936381991319,-56.64816883605823,-73.39911796334799
128454,-22.244426221630466,-43.29087488771057,-55.19746571272766,-71.57084235689791
