p,q,aic,bic,hqic
1,0,4533045,4533133,4533071
1,1,4522384,4522512,4522422
1,2,4521922,4522089,4521972
1,3,4522967,4523174,4523029
1,4,4522102,4522348,4522176
1,5,4522022,4522308,4522108
1,6,4522113,4522438,4522210
1,7,4522189,4522554,4522298
2,0,4528923,4529051,4528961
2,1,4522557,4522725,4522607
2,2,4521717,4521924,4521779
2,3,4521713,4521959,4521786
2,4,4521842,4522127,4521927
2,5,4521696,4522021,4521793
2,6,4521805,4522169,4521914
2,7,4521836,4522240,4521957
3,0,4525963,4526130,4526013
3,1,4525943,4526150,4526005
3,2,4521583,4521830,4521657
3,3,4521709,4521995,4521795
3,4,4521567,4521892,4521664
3,5,4524224,4524589,4524333
3,6,4521588,4521992,4521708
3,7,4521578,4522021,4521711
4,0,4524570,4524777,4524632
4,1,4524562,4524809,4524636
4,2,4524500,4524786,4524586
4,3,4521553,4521878,4521650
4,4,4521517,4521882,4521626
4,5,4521613,4522017,4521734
4,6,4521494,4521937,4521626
4,7,4522965,4523447,4523109
5,0,4523050,4523297,4523124
5,1,4523051,4523337,4523136
5,2,4523038,4523363,4523135
5,3,4523003,4523367,4523112
5,4,4521514,4521918,4521635
5,5,4521473,4521916,4521605
5,6,4521577,4522059,4521721
5,7,4522455,4522977,4522611
6,0,4522392,4522678,4522477
6,1,4522398,4522723,4522496
6,2,4522399,4522763,4522508
6,3,4522391,4522795,4522512
6,4,4522373,4522816,4522506
6,5,4522336,4522818,4522480
6,6,4521448,4521970,4521604
6,7,4522164,4522726,4522332
7,0,4522068,4522393,4522165
7,1,4522029,4522393,4522138
7,2,4521467,4521871,4521588
7,3,4521443,4521886,4521576
7,4,4521435,4521918,4521580
0,1,4889834,4889923,4889861
0,2,4902768,4902896,4902806
0,3,4995102,4995269,4995152
0,4,5052410,5052617,5052472
0,5,5942699,5942945,5942772
0,6,5906400,5906686,5906486
0,7,8125650729,8125651054,8125650826
