fit_time(m),aic,MAE,RMSE
0,16231.186051324461,2699.1732779561835,3443.2230451372343
0,16153.277513910387,2792.860379581201,3402.2288727704477
0,16620.630685219054,2014.9017981143081,2576.796607443963
0,15661.52506339445,1783.1888170508983,2305.0187629335273
0,15732.091356966124,2076.343488074732,2665.5466679723886
0,16111.724265438694,2805.542350121088,3605.3508188779024
0,16291.202960599308,2767.383958786168,3494.4736667138786
0,15270.193823280479,1024.5841821844203,1304.4082484652508
0,15553.412683503258,1235.3670186935988,1529.5488630200784
0,16779.681962840645,4838.066941337552,6408.827199264536
0,16290.9427832962,2905.11481774976,3693.990038549061
0,16120.7816798096,2875.067285941036,3801.355750917821
0,15874.152656249313,3103.597766918684,3957.392914590597
0,17125.636332735503,3109.488958789827,3937.191921215254
0,17076.78172745398,3311.422467049646,4151.351939281516
0,15764.570938961993,2023.1975364137986,2596.5601435794338
0,15574.413902381066,1687.24114934417,2130.9589735622176
0,15526.819808840013,1979.3798567671301,2548.13408760699
0,16634.814082645196,2907.404648689676,3686.28101777789
0,16594.115187934418,3602.4112346458924,4478.905627822733
0,16106.527298676818,2896.1194852283893,3617.1937978379865
0,15302.108447237257,1130.4884617388848,1423.2796178482845
0,16084.58137508613,2444.6083379741513,3243.8293837775227
0,15709.498661819951,2138.804054370904,2675.1323843748955
0,15398.50821452041,1519.9199460554737,1893.611836565804
0,14851.195796964603,960.5865445342379,1246.7606266792743
0,15934.737431391442,2656.030306856244,3517.5910279217014
0,16196.997726636364,3400.080249290086,4588.862889534179
0,16586.19918008359,3900.0275788687204,5021.776566453979
0,16662.43979167151,4518.8804411532365,5985.206337906031
0,16445.608148103744,2652.359685677231,3229.6836867612537
0,16572.725586108063,2414.2962277305846,3166.3007574227286
0,15241.84484926793,1011.6132616803651,1312.8000072686948
0,15163.8222901945,1397.6275080453659,1769.2648691743484
0,15292.114712903996,1289.8683980890485,1650.2337530404177
0,16200.529851872852,3349.547279474419,4487.132398203946
0,15926.56152808003,2158.100943885034,2745.4614382633063
0,16254.594297779266,3813.9563600964275,4888.696888190605
0,16029.652419054095,2912.8188116526558,3655.5917723672756
