Date,Zipcode,OneBR,TwoBR,ThreeBR,FourBR
2020-05-31,90004,661912,960478,1335291,2193740
2020-05-31,90007,556480,659846,759842,876513
2020-05-31,90012,517031,662261,767330,852181
2020-05-31,90016,529954,756320,910316,977537
2020-05-31,90018,578417,741959,798073,872098
2020-05-31,90019,864731,1036038,1219667,1365241
2020-05-31,90020,395137,615003,853710,3076411
2020-05-31,90022,437105,469949,525116,568626
2020-05-31,90023,430155,453042,501799,543154
2020-05-31,90024,660859,1009697,2444006,3382383
2020-05-31,90025,633509,942343,1294783,2205360
2020-05-31,90026,805501,940360,1119624,1303585
2020-05-31,90027,664143,1092570,1621626,2501739
2020-05-31,90028,767218,861170,1295589,1538763
2020-05-31,90029,824802,974011,1079639,1233430
2020-05-31,90031,584660,651073,740716,768352
2020-05-31,90032,547342,612267,686849,751099
2020-05-31,90033,500910,514337,555784,605962
2020-05-31,90034,598028,1145820,1480087,2009326
2020-05-31,90038,826541,887014,1256894,1638458
2020-05-31,90039,782439,973209,1154224,1295522
2020-05-31,90040,404320,448158,501673,565660
2020-05-31,90041,725319,827226,965084,1140837
2020-05-31,90042,618147,732261,858333,989940
2020-05-31,90043,497251,653886,772377,915874
2020-05-31,90044,456759,468151,511316,546236
2020-05-31,90045,426658,970501,1245774,1430374
2020-05-31,90046,614928,1083966,1856019,2717847
2020-05-31,90048,610099,1307610,2071387,2476021
2020-05-31,90049,672984,1130256,2628211,3394650
2020-05-31,90056,688146,784756,1248538,1484931
2020-05-31,90057,386769,613761,902795,1000489
2020-05-31,90061,398233,420886,469867,507427
2020-05-31,90062,546868,581356,635892,665046
2020-05-31,90063,453815,486139,551396,583490
2020-05-31,90064,780829,1268668,1729603,2347299
2020-05-31,90065,710328,763103,903881,1018222
2020-05-31,90066,593137,1360170,1579938,1891335
2020-05-31,90068,695374,1051241,1613768,2283914
2020-05-31,90069,655796,996440,2674620,4177782
2020-05-31,90077,1008055,1251969,1935433,2709566
2020-05-31,90201,427190,446009,498429,545897
2020-05-31,90211,904772,1157126,2497130,2721689
2020-05-31,90212,913158,1432584,2815858,3539718
2020-05-31,90230,477479,700454,1259933,1512339
2020-05-31,90232,1178152,1418667,1577591,1729030
2020-05-31,90240,496847,509014,631966,740266
2020-05-31,90242,388494,494953,574820,638619
2020-05-31,90245,930822,1009429,1375843,1671565
2020-05-31,90247,384912,493368,581818,639323
2020-05-31,90250,561253,634976,685739,768874
2020-05-31,90254,1084656,1334479,1703887,2488284
2020-05-31,90255,394541,439290,496663,521240
2020-05-31,90260,382615,560408,683883,713996
2020-05-31,90265,1163917,1468170,2920216,3744961
2020-05-31,90266,2220347,2150178,2333452,2748636
2020-05-31,90270,403513,427820,484504,549782
2020-05-31,90272,749620,1822409,2844002,3547008
2020-05-31,90275,450083,787883,1214248,1423204
2020-05-31,90277,695983,952746,1319738,1632756
2020-05-31,90278,465996,811110,1018528,1238946
2020-05-31,90291,1701811,1848590,2137762,2712107
2020-05-31,90292,886192,1124237,1677345,3077318
2020-05-31,90304,518862,561201,618828,669777
2020-05-31,90305,551203,590424,650829,745511
2020-05-31,90401,900828,1340504,2261742,3077243
2020-05-31,90402,927419,2508822,3723328,4487902
2020-05-31,90403,718678,1332501,2000448,3183431
2020-05-31,90404,637403,1093429,1314348,1699605
2020-05-31,90405,696427,1523903,2145261,2503350
2020-05-31,90501,412481,625964,734867,869199
2020-05-31,90502,311239,403552,590075,664297
2020-05-31,90503,468089,647467,901000,1076340
2020-05-31,90505,472994,589901,943632,1143724
2020-05-31,90601,338816,478070,601779,706076
2020-05-31,90605,480068,493793,539080,608234
2020-05-31,90606,472809,477127,524616,562889
2020-05-31,90620,583755,554580,620854,652888
2020-05-31,90621,500460,522138,604405,750187
2020-05-31,90630,403435,492390,670011,788556
2020-05-31,90638,330398,436017,600251,641755
2020-05-31,90660,434846,470102,521824,572015
2020-05-31,90701,385017,446543,612912,715018
2020-05-31,90706,472914,492283,560733,638038
2020-05-31,90710,392109,439562,619241,719854
2020-05-31,90715,368401,428969,580663,661120
2020-05-31,90717,536981,605037,723396,874812
2020-05-31,90723,300392,406242,502582,565253
2020-05-31,90731,491854,563809,679887,741779
2020-05-31,90732,348869,535599,798011,886863
2020-05-31,90744,392340,450046,501388,551534
2020-05-31,90755,348322,461087,653883,935404
2020-05-31,90802,347136,497606,792501,780244
2020-05-31,90803,446395,824006,1148168,1359139
2020-05-31,90804,348424,482723,657632,826760
2020-05-31,90805,389021,471008,520990,576495
2020-05-31,90806,384866,539435,594566,649787
2020-05-31,90808,477557,615004,709434,783176
2020-05-31,90814,372490,620782,996183,1179366
2020-05-31,91001,637360,746680,897461,1228602
2020-05-31,91006,774275,666724,886110,1263088
2020-05-31,91007,564267,647420,933627,1346110
2020-05-31,91010,490108,495416,564589,681075
2020-05-31,91011,758255,1057928,1406956,1961825
2020-05-31,91016,638853,669528,755700,876892
2020-05-31,91020,626817,708904,775619,1083904
2020-05-31,91024,624908,750496,1050994,1373654
2020-05-31,91030,580127,800341,1197972,1645695
2020-05-31,91040,525290,584393,677046,830113
2020-05-31,91042,487255,570240,726191,870464
2020-05-31,91101,480242,637107,794948,1108189
2020-05-31,91103,592693,691071,820084,1217044
2020-05-31,91104,629509,753054,916627,1107244
2020-05-31,91105,616872,906836,1330933,2113120
2020-05-31,91106,441223,631887,941611,2119621
2020-05-31,91107,469945,730149,954877,1378944
2020-05-31,91201,662422,779545,972030,1170290
2020-05-31,91202,422939,654206,996133,1383038
2020-05-31,91204,480550,591729,741053,883830
2020-05-31,91205,411727,706576,790637,1000262
2020-05-31,91206,419665,587510,1043530,1407939
2020-05-31,91207,413247,811460,1118590,1449278
2020-05-31,91214,503025,729271,911922,1161823
2020-05-31,91302,441785,543989,986631,1372012
2020-05-31,91304,246441,345912,643991,774594
2020-05-31,91311,394001,437357,628934,776873
2020-05-31,91316,306695,525110,789962,1148092
2020-05-31,91321,256192,349901,554087,683651
2020-05-31,91324,593693,494165,629602,736526
2020-05-31,91325,596325,490039,652843,858061
2020-05-31,91331,391091,475456,534794,557002
2020-05-31,91335,304121,517642,589119,631318
2020-05-31,91342,448903,435596,564797,609561
2020-05-31,91344,563589,517902,654866,741977
2020-05-31,91345,488350,500697,575789,604765
2020-05-31,91355,340855,424119,594603,672820
2020-05-31,91356,294850,441219,769072,1301186
2020-05-31,91362,335424,449145,700852,936911
2020-05-31,91364,677079,716483,875258,1085133
2020-05-31,91367,345213,477145,784591,958059
2020-05-31,91401,500954,707797,840037,1053718
2020-05-31,91403,424919,637576,1271162,1715148
2020-05-31,91405,403466,454789,665080,722950
2020-05-31,91411,405929,534048,845564,962259
2020-05-31,91423,449537,678258,1223274,1611031
2020-05-31,91501,592448,617778,945024,1321794
2020-05-31,91502,484025,608633,821116,937692
2020-05-31,91504,529853,597478,892877,1079603
2020-05-31,91505,596579,766911,866765,1018147
2020-05-31,91506,667891,792437,902531,1080351
