Date,Zipcode,OneBR,TwoBR,ThreeBR,FourBR
2020-06-30,90004,650635,947960,1244873,2060165
2020-06-30,90007,549631,636873,719875,809658
2020-06-30,90012,505948,636397,748877,831766
2020-06-30,90016,511499,723789,846441,927705
2020-06-30,90018,578671,724873,778523,839241
2020-06-30,90019,795820,1025169,1131511,1309426
2020-06-30,90020,390677,598020,830189,2867892
2020-06-30,90022,421505,451161,495281,537114
2020-06-30,90023,423855,442790,468072,502485
2020-06-30,90024,645698,988241,2341673,3151085
2020-06-30,90025,610611,911156,1247977,2074517
2020-06-30,90026,768520,901374,1031048,1205113
2020-06-30,90027,606258,999346,1460068,2246008
2020-06-30,90028,739827,835919,1251534,1509727
2020-06-30,90029,759700,953264,1070524,1177557
2020-06-30,90031,547507,621631,705137,739131
2020-06-30,90032,505804,592867,656695,719399
2020-06-30,90033,473341,488859,529220,577070
2020-06-30,90034,565099,1107155,1398143,1833243
2020-06-30,90038,793319,830857,1202393,1619315
2020-06-30,90039,762670,927622,1084258,1220726
2020-06-30,90040,387747,427361,480303,538460
2020-06-30,90041,688353,789176,925037,1093792
2020-06-30,90042,623755,717699,845963,977491
2020-06-30,90043,469552,620795,729866,868712
2020-06-30,90044,418667,442735,477721,523940
2020-06-30,90045,433457,950567,1201571,1426735
2020-06-30,90046,600672,1024524,1740900,2578047
2020-06-30,90048,594661,1211988,1977408,2348962
2020-06-30,90049,646956,1111518,2454469,3239874
2020-06-30,90056,632229,738881,1204861,1404689
2020-06-30,90057,376490,600022,874228,972195
2020-06-30,90061,383879,399393,440384,483853
2020-06-30,90062,542403,577751,617685,641913
2020-06-30,90063,407176,452319,530192,565848
2020-06-30,90064,753648,1233878,1610592,2143037
2020-06-30,90065,674556,745881,886089,1003882
2020-06-30,90066,571845,1301248,1507938,1804981
2020-06-30,90068,682002,994425,1530003,2127656
2020-06-30,90069,641599,939240,2475603,3968009
2020-06-30,90077,992083,1221226,1851154,2562701
2020-06-30,90201,394720,420210,476936,527692
2020-06-30,90211,841602,1085403,2244976,2476719
2020-06-30,90212,847208,1383922,2562446,3305059
2020-06-30,90230,466239,679164,1225604,1471931
2020-06-30,90232,1068231,1384079,1516350,1693303
2020-06-30,90240,457437,494356,606568,712406
2020-06-30,90242,372212,479750,550926,610661
2020-06-30,90245,825246,948685,1303818,1620495
2020-06-30,90247,366482,471721,560086,622720
2020-06-30,90250,552311,612963,657833,744457
2020-06-30,90254,977523,1240162,1613575,2382571
2020-06-30,90255,362097,413023,470277,502821
2020-06-30,90260,370057,545872,662420,702311
2020-06-30,90265,1160528,1461647,2859428,3742894
2020-06-30,90266,2193766,2015364,2193904,2612708
2020-06-30,90270,376413,403673,465430,529852
2020-06-30,90272,804929,1785682,2763096,3418131
2020-06-30,90275,443921,778491,1192451,1426187
2020-06-30,90277,686917,954579,1300475,1609799
2020-06-30,90278,457153,794157,984674,1194544
2020-06-30,90291,1695368,1807384,2095110,2618154
2020-06-30,90292,883251,1100560,1601555,2980777
2020-06-30,90304,490410,519762,568081,642531
2020-06-30,90305,520394,556677,633477,727364
2020-06-30,90401,798478,1366612,2213967,3182769
2020-06-30,90402,1008837,2359631,3517674,4299946
2020-06-30,90403,729813,1251909,1882551,3050088
2020-06-30,90404,627061,1066282,1234643,1686675
2020-06-30,90405,684577,1465076,2046460,2351140
2020-06-30,90501,402761,615757,709177,844676
2020-06-30,90502,301402,390153,570427,634935
2020-06-30,90503,466272,635302,882203,1043120
2020-06-30,90505,458791,583983,927675,1124246
2020-06-30,90601,335684,464491,583173,684277
2020-06-30,90605,462407,476392,520533,585496
2020-06-30,90606,442586,460219,502675,539483
2020-06-30,90620,568369,541310,599870,634466
2020-06-30,90621,482746,505500,593348,736916
2020-06-30,90630,401395,482689,649862,772087
2020-06-30,90638,315551,431595,585960,628540
2020-06-30,90660,411657,452336,498524,549392
2020-06-30,90701,362594,438389,582660,693663
2020-06-30,90706,431360,472616,538375,612957
2020-06-30,90710,379387,429675,592300,683030
2020-06-30,90715,353475,417883,548693,638912
2020-06-30,90717,507312,578923,684028,837882
2020-06-30,90723,291055,384353,483514,541433
2020-06-30,90731,486128,540834,659077,719904
2020-06-30,90732,339172,521217,787451,867615
2020-06-30,90744,365054,421583,482836,535294
2020-06-30,90755,339150,450431,642216,912744
2020-06-30,90802,337147,486718,791925,761802
2020-06-30,90803,445447,820806,1153707,1355623
2020-06-30,90804,333924,467815,634236,817194
2020-06-30,90805,357610,446034,497749,541628
2020-06-30,90806,369155,522226,566542,624746
2020-06-30,90808,451200,599863,688238,767451
2020-06-30,90814,359210,604723,980236,1146520
2020-06-30,91001,632517,724752,863423,1197350
2020-06-30,91006,745734,657246,860619,1229451
2020-06-30,91007,557884,643478,935426,1313846
2020-06-30,91010,462423,465971,540309,660356
