Date,median1,median2,median3,median4,mean1,mean2,mean3,mean4
1996-01-31,126629,151063,195056,236146,139968,166773,216547,271840
1996-02-29,126756,150874,195081,237121,139737,166504,216264,271489
1996-03-31,126961,150725,194693,237551,139610,166329,216122,271286
1996-04-30,126710,150730,193976,236331,139321,165978,215829,270924
1996-05-31,126223,150643,193362,237570,139107,165726,215630,270713
1996-06-30,125906,149831,193377,236633,138926,165537,215505,270561
1996-07-31,125883,149347,193543,236675,138777,165395,215457,270505
1996-08-31,125032,149486,194121,236283,138690,165363,215548,270585
1996-09-30,125335,150085,194238,235432,138589,165382,215709,270819
1996-10-31,125791,150340,194355,235715,138582,165573,216097,271281
1996-11-30,125706,150482,194393,236816,138620,165827,216595,271896
1996-12-31,125414,150986,194987,237206,138782,166216,217241,272696
1997-01-31,125105,150664,194914,238017,138965,166504,217730,273513
1997-02-28,125554,150663,194353,238446,139227,166877,218354,274473
1997-03-31,125477,151058,195274,240018,139496,167314,219042,275583
1997-04-30,125111,151228,195240,242308,139871,167992,220024,276861
1997-05-31,124670,151917,195566,243753,140351,168800,221187,278347
1997-06-30,124673,152403,197396,244169,140843,169690,222448,279986
1997-07-31,125138,152790,198280,245913,141521,170779,223938,281931
1997-08-31,125882,153796,199431,247969,142253,171928,225502,284066
1997-09-30,127874,154550,200231,250090,143164,173149,227196,286288
1997-10-31,128010,155138,201051,252003,144040,174292,228772,288392
1997-11-30,128380,156180,202495,253531,144969,175546,230473,290614
1997-12-31,129222,157155,204893,255407,145953,176953,232396,293087
1998-01-31,129803,158452,206128,258705,146928,178604,234707,295780
1998-02-28,130559,159381,208697,262347,147988,180416,237198,298708
1998-03-31,131167,161278,211248,265177,149012,182191,239663,301488
1998-04-30,131416,161969,213143,267619,150076,183879,242007,304312
1998-05-31,132140,162686,214226,269290,151054,185471,244282,307035
1998-06-30,133463,163295,215759,270708,152160,187037,246522,309808
1998-07-31,132899,164455,217585,272291,153150,188488,248618,312393
1998-08-31,132544,166357,219268,274263,154247,190043,250845,315084
1998-09-30,134505,167542,221135,276212,155407,191828,253308,318051
1998-10-31,135647,168259,222895,279831,156595,193618,255731,321080
1998-11-30,136210,170355,224639,282709,157780,195291,257943,323893
1998-12-31,137741,171433,227089,284702,158712,196636,259744,326218
1999-01-31,138193,172236,229253,287971,159825,198131,261668,328551
1999-02-28,139066,173359,231255,290247,161013,199667,263628,330963
1999-03-31,139866,175384,233357,292935,162322,201284,265617,333538
1999-04-30,140099,176744,234748,295198,163601,202784,267483,336055
1999-05-31,140817,178319,236015,297083,164909,204356,269405,338626
1999-06-30,142057,179875,238166,299490,166372,206266,271847,341688
1999-07-31,144615,181389,241104,301571,167865,208345,274475,344920
1999-08-31,145018,183079,242787,302922,169163,210172,276801,347717
1999-09-30,146121,184151,244085,304416,170297,211776,278779,350090
1999-10-31,146782,185912,245378,307351,171679,213656,281259,353046
1999-11-30,147592,187982,248177,310814,173293,215942,284285,356669
1999-12-31,149172,190180,250254,314635,175222,218484,287641,360761
2000-01-31,150678,191889,252683,318416,177255,221144,291135,365227
2000-02-29,152444,193662,255697,321507,179218,223734,294580,369599
2000-03-31,154613,196302,259068,324801,181175,226469,298308,374173
2000-04-30,155760,198752,262244,327290,183135,229321,302188,378745
2000-05-31,157419,201067,266262,330483,185349,232472,306437,383822
2000-06-30,158795,203793,268389,334348,187810,235792,310840,389252
2000-07-31,161626,206558,272957,338169,190372,239108,315295,394905
2000-08-31,163666,209313,276276,342447,193091,242589,320007,400973
2000-09-30,166259,212212,279102,347802,195879,246177,324848,407149
2000-10-31,167988,214759,283296,352024,198640,249823,329579,413016
2000-11-30,169007,216726,286498,356636,201520,253637,334465,419004
2000-12-31,172069,219325,289682,359168,204460,257608,339531,425122
2001-01-31,174569,221691,292455,363383,207314,261288,344299,430976
2001-02-28,176373,224206,295957,368481,210087,264797,348770,436499
2001-03-31,177875,226828,299645,370930,212777,268037,352903,441805
2001-04-30,182043,230148,304076,375199,215354,271176,356828,447003
2001-05-31,184120,233549,307524,379039,217487,273667,359901,451189
2001-06-30,185294,235723,309779,379733,219056,275578,362101,454153
2001-07-31,187616,237680,310999,384792,220308,277070,363790,456260
2001-08-31,188885,240325,312527,387443,221646,278666,365533,458343
2001-09-30,190948,242189,314912,390806,223013,280220,367332,460596
2001-10-31,191915,243762,317074,394326,224339,281727,369067,462976
2001-11-30,193447,246148,319726,397001,225226,282747,370301,464799
2001-12-31,194779,247741,322195,400070,225965,283627,371365,466325
2002-01-31,196129,250084,325146,403957,226668,284573,372487,467755
