i,MSE,MAE
0,2761.6239616618795,45.153599121093
1,708.7217323572006,17.361101505227722
2,1241.5446536596864,27.635759278454902
3,21626.142640006794,130.15654776584984
4,937.3143112690998,19.05664184994947
5,642.9934012165913,16.860074626712546
6,739.332981835714,16.782311668006784
7,2001.4613371487012,38.08759129793739
8,960.7489445949548,18.090182524899813
9,1116.1674595170273,21.566651852658477
10,1047.498849757142,20.19212002498593
11,11947.062748403427,90.33194250608582
12,1578.5701222085092,34.41146298451832
