model,MSE,MAE,AIC,pred
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-2.304590996993135
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,-0.5228429284254688
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,1.8108870949708789
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,2.324205158323879
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,3.1778432028832992
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,3.81619593605015
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,4.74329467694396
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,5.395520172703721
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,6.283853567284702
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,6.841108025253535
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,7.592117116865988
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,65.07216541861578
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,95.7885067639719
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,112.2213634032629
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,128.55524753108728
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,145.88074957416518
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,145.8990781800636
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,115.98639734705489
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,103.45061141628548
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,95.94795719476849
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,100.93951776378003
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,104.783127043994
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,77.83849210688209
TBATS-hourly,47523.05137685061,168.8850729509333,234122.96990369717,21.122562407290616
