model,MSE,MAE,ForeMSE,ForeMAE,AIC,forecast
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,-2.304590996993135
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,-0.5228429284254688
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,1.8108870949708789
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,2.324205158323879
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,3.1778432028832992
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,3.81619593605015
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,4.74329467694396
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,5.395520172703721
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,6.283853567284702
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,6.841108025253535
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,7.592117116865988
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,65.07216541861578
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,95.7885067639719
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,112.2213634032629
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,128.55524753108728
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,145.88074957416518
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,145.8990781800636
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,115.98639734705489
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,103.45061141628548
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,95.94795719476849
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,100.93951776378003
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,104.783127043994
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,77.83849210688209
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,21.122562407290616
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,7.889102357330216
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,7.83276270896306
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,8.137786509971761
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,8.286804208229114
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,8.792665478065373
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,9.113918472366095
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,9.764534000359504
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,10.186573425100619
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,10.892017482790266
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,11.310041172602837
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,11.95744816947365
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,69.3576028438365
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,100.00268140571302
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,116.35559885663179
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,132.58240566210793
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,149.75524235785645
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,149.55807501578784
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,119.35219230333996
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,106.4340507842901
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,98.4527676320746
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,102.86732237549336
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,106.03889384443175
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,78.33612883143269
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,20.79035540227983
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,6.674696371423465
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,5.707393186691206
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,5.099506001195664
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,4.36248853410234
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,4.038641385299684
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,3.615120075788923
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,3.6321672536211054
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,3.5543426960241504
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,3.911042366773245
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,4.14266125658537
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,4.7701750236121825
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,62.313528869973766
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,93.25369161342292
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,110.03475211137538
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,126.79685514717858
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,144.5800504261548
TBATS-hourlyY,47523.05137685061,168.8850729509333,58441585.55794763,7089.239032481243,233391.76038689038,145.03124564927117
