model,p,d,q,MSE,MAE,AIC,ForeMSE,ForeMAE
ARIMA,0,0,0,1712958.8050745432,1278.7114188308774,10327.02893456407,1521734.6823924112,1216.3784366113473
ARIMA,0,0,1,1704391.1887087724,1274.347165905263,9652.56766456208,1521734.6823924112,1216.3784366113473
ARIMA,0,0,2,1698273.106636733,1271.219678738493,9251.055618852812,1521734.6823924112,1216.3784366113473
ARIMA,0,0,3,1697799.8772092008,1271.22239130368,9030.455923447733,1521734.6823924112,1216.3784366113473
ARIMA,0,0,4,1690347.518250799,1264.6236201838578,8903.25164719471,1521734.6823924112,1216.3784366113473
ARIMA,0,0,5,1666330.8966512294,1252.7090039982932,8709.621185720836,1521734.6823924112,1216.3784366113473
ARIMA,0,0,6,1653859.7464923228,1247.9966600672717,8647.930268887427,1521734.6823924112,1216.3784366113473
ARIMA,0,0,7,1650515.3352389662,1246.36754350299,8609.966143906076,1521734.6823924112,1216.3784366113473
ARIMA,0,1,0,79691.72622216996,219.0870010245407,8399.305221656494,42537.90831547556,163.112945393749
ARIMA,0,1,1,89998.68541339542,253.1088463220258,8287.831450367601,71923.82759477028,222.11218701862526
ARIMA,0,1,2,78794.95208177742,227.56922556146222,8194.882694688064,50884.8029468716,181.55131181871684
ARIMA,0,1,3,77894.1591952872,223.23714302149423,8173.117101178468,47035.56242947356,173.86095842550893
ARIMA,0,1,4,77882.6488447661,221.60560161619117,8162.073849638524,45618.76557594171,170.8713338670926
ARIMA,0,1,5,77872.42368287714,222.62615377081278,8151.0384441363485,46475.51847887039,172.69955624662896
ARIMA,0,1,6,78553.96264564796,226.67314088764525,8133.808557936608,49294.238012245674,178.35186878576621
ARIMA,0,1,7,80419.4612030046,232.40286534543097,8116.144113253338,54278.86518906425,188.36570570310934
ARIMA,1,0,0,780517.9465861368,836.5470428340851,8408.162762033739,1493740.1824633754,1203.6364653575422
ARIMA,1,0,1,87650.27263534765,249.12201247631563,8305.25403891889,63180.99252528831,204.86973964486526
ARIMA,1,0,2,84249.3046527997,238.4829373566521,8209.424260673204,80241.59225292297,236.44352735385328
ARIMA,1,0,3,81537.70554513998,231.52931392684837,8192.68214575195,66336.70014097048,212.59172681271673
ARIMA,1,0,4,80242.24820818353,227.84078973995622,8179.494815809468,57462.909614907374,195.82847503441246
ARIMA,1,0,5,80818.33762835243,220.48289484690395,8172.552924812768,43074.97695465851,165.33187311814314
ARIMA,1,0,6,82924.23101293675,235.55987216176476,8150.993727237592,72091.71516438233,222.82383627791313
ARIMA,1,0,7,86576.7938590907,244.16749171434674,8132.102230347036,87151.95310646397,247.71589812587635
ARIMA,1,1,0,77927.28866637907,221.25498963749902,8367.214145895941,45065.355978235144,169.71578606797027
ARIMA,1,1,1,77959.59068340206,220.9953642893973,8205.93360626632,44976.96716695154,169.5297129956632
ARIMA,1,1,2,77860.6325022003,222.2412256534639,8190.907977563043,46167.08298518828,172.04280928829823
ARIMA,1,1,3,77869.65059215193,222.80488845593064,8175.043386618907,46677.573031745706,173.1232022715405
ARIMA,1,1,4,77853.93471899611,222.3584323916885,8163.6436367314245,46306.012215634306,172.34164664662453
ARIMA,1,1,5,78006.04105660267,224.11542835200456,8152.725562642041,47651.432851392325,175.126951475998
ARIMA,1,1,6,78926.95988127873,227.93294206211758,8134.763985497406,50452.59108065605,180.69407302853466
ARIMA,1,1,7,80015.13160896856,231.28494332595426,8114.188706759644,53177.97249673493,186.15440874292935
ARIMA,2,0,0,482598.27983822033,644.7633209593861,8365.568398660726,1398132.6415949252,1159.9142629612704
ARIMA,2,0,1,80622.5303029458,220.543050755745,8271.095945207306,43231.00004636172,165.76211980487102
ARIMA,2,0,2,82422.32934835753,233.9416490999934,8210.247167160436,71309.16526240349,221.41580279684965
ARIMA,2,0,3,80712.67347974576,220.1822213713704,8199.384586158954,42867.11086277893,164.68316960568373
ARIMA,2,0,4,79709.48599277095,227.02580778091823,8183.414564824843,54740.83750372531,190.22525780113622
ARIMA,2,0,5,79855.159269247,224.18022939713347,8173.383366655437,51278.21924867781,183.3521408674853
ARIMA,2,0,6,83757.72125611964,237.7165100500619,8151.558736082392,75654.07979879685,228.86529552403331
ARIMA,2,0,7,85637.11628705238,242.3103697961752,8139.901925285749,82205.29424789791,239.75746213107067
ARIMA,2,1,0,77950.82416217616,223.82474537294647,8322.740115614863,47172.840567764,174.147173708415
ARIMA,2,1,1,77917.76697460997,223.44441834430282,8204.121463250896,47172.784305215806,174.14705584140154
ARIMA,2,1,2,77906.76962820516,221.34321746159142,8192.934530034358,45353.38637485551,170.32053333754328
ARIMA,2,1,3,100534.64560624059,264.01380255091595,8117.132012732945,77160.97223895464,237.71503919174086
ARIMA,2,1,4,86006.44437953513,242.0667615475626,8085.274980962548,58157.36610472587,201.64948870432679
ARIMA,2,1,5,88118.90270236348,243.16409169521347,8073.558802541902,59316.05949172778,204.35996332572253
ARIMA,2,1,6,82769.62382721351,233.81096054722045,8062.886783433241,50433.41241217558,185.9494821053406
ARIMA,2,1,7,82645.41359496713,230.8691431159756,8038.174972733951,47990.7149484718,179.01911284343302
ARIMA,3,0,0,265977.14627633785,460.867135882327,8322.575226263114,1175425.0118313099,1052.5084047330733
ARIMA,3,0,1,81516.86560964205,231.57145665383598,8216.705882475293,66088.4913944961,212.1410013095067
ARIMA,3,0,2,80673.96439130513,228.32490354873815,8214.78139715239,59791.25492942968,200.42541784046094
ARIMA,3,0,3,79419.6283222951,222.23698982723428,8203.497495976542,47179.23968897813,175.02941039468124
ARIMA,3,0,4,81530.47129672383,232.27541661205885,8169.505495450469,63441.336172029936,207.27497877538173
ARIMA,3,0,5,82570.12157149462,234.65944662948402,8157.822616943212,70218.30326500429,219.42856905364178
ARIMA,3,0,6,84738.42198346846,240.49606941801372,8140.6453290002,78515.70584790142,233.64931196299162
ARIMA,3,0,7,86345.2394681897,244.03254747029814,8128.195859472184,86686.65265689377,246.93010152478135
ARIMA,3,1,0,77758.82446688811,222.27178044101757,8292.065203900678,46222.99920751472,172.16369840841634
ARIMA,3,1,1,78192.6124411242,225.28827344213354,8190.9693052269995,48831.37549056019,177.4393021260653
ARIMA,3,1,2,77890.7107935888,223.09175527626002,8193.088837615338,46881.826680057035,173.5441932417312
ARIMA,3,1,3,78462.71249342342,220.62286000732644,8110.36695330462,35846.19104929065,150.54704072194943
ARIMA,3,1,4,97412.61331505387,259.58453906624266,8089.083790568127,73254.19284299939,230.5652510870568
ARIMA,3,1,5,91049.56582484137,248.76179001954392,8074.840802975079,63985.152803981844,213.3619574623064
ARIMA,3,1,6,88769.49474562569,243.10580233897716,8058.499153766605,60052.29469627291,205.04635953039357
ARIMA,3,1,7,82699.62151851007,231.10724470694552,8042.565163389028,47842.13227380432,178.74722218238932
ARIMA,4,0,0,170899.66166956312,355.6147045868395,8292.642352890767,923487.0413219731,919.5966467946425
ARIMA,4,0,1,82392.22836075556,234.00073165463957,8200.470816308563,70588.03314419439,220.18956078911415
ARIMA,4,0,2,80579.48155174946,227.6541263847558,8199.997308675189,58980.43537162529,198.89977967318552
ARIMA,4,0,3,83598.17807508037,237.0010538126733,8197.366872663808,76394.0865443021,230.0931169380388
ARIMA,4,0,4,61836.375755774265,187.9221274993271,8109.478887365134,180583.0260638822,368.79312486353507
ARIMA,4,0,5,280052.534828395,449.4481142308501,8107.4580872634815,3296438.067967139,1680.0823770391842
ARIMA,4,0,6,90052.40390678345,250.03267473154798,8128.85277471048,133143.3908493669,314.43334621183527
ARIMA,4,0,7,67526.54521190583,204.7673741213679,8095.21364263111,53639.163506364406,182.59355189449334
ARIMA,4,1,0,78762.37239006971,227.73706284199295,8247.165131907119,50857.36899025993,181.49713244881178
ARIMA,4,1,1,85091.54558463115,243.40140551431472,8172.8880813181695,64082.90198982983,207.39595557323472
ARIMA,4,1,2,78790.99841497232,227.473149427596,8176.059612040292,50973.88834083338,181.72901156624954
ARIMA,4,1,3,82469.47192045543,232.79298930004913,8106.243403218564,50166.687546263296,184.19340060394302
ARIMA,4,1,4,86300.87290081088,241.58505106028443,8085.926452460464,57565.9822427056,200.71609347981774
ARIMA,4,1,5,98121.4669348776,260.3584079990789,8078.589791529838,73997.27305329144,232.0378326709792
ARIMA,4,1,6,91472.68416577241,249.59481518189705,8058.484196265057,64717.74695961505,214.7285416414505
ARIMA,4,1,7,88192.10067275878,243.39542350696772,8045.4099789751235,59363.97812821578,204.43659568841505
ARIMA,5,0,0,100375.1941182496,245.70296877872278,8248.24161450201,606348.7490209856,727.6457687513695
ARIMA,5,0,1,91725.01693773421,255.03192083260709,8182.269874042547,95805.95905339366,261.9242307103734
ARIMA,5,0,2,81760.98196240728,232.0173973710186,8185.634047141106,69013.18402362596,217.12346687098474
ARIMA,5,0,3,80594.07899962242,228.79465175010893,8183.081139107958,59606.27886472749,200.03271966451055
ARIMA,5,0,4,56829.626465548456,179.6032886724129,8152.927941745487,231241.55261686663,419.3347570031445
ARIMA,5,0,5,101723.5470602942,265.93009654293786,8093.439722198753,90264.66340336391,260.1034039093531
ARIMA,5,0,6,105247.22023840813,270.18564713286577,8076.978525131195,133280.63534033153,323.89988617573056
ARIMA,5,0,7,99728.70611573228,262.4819266798219,8061.975125155906,126262.66144886316,313.2342019984036
ARIMA,5,1,0,89738.44443480598,253.55189703553583,8180.715576261155,70645.53295073617,219.80740630288278
ARIMA,5,1,1,98953.93472536732,268.3693930793958,8152.7551379001725,85183.84813619341,244.86081642365644
ARIMA,5,1,2,85420.87681634819,244.08289593532783,8167.381999696827,64672.02349570205,208.52528530299065
ARIMA,5,1,3,91071.80454347232,246.678466687606,8119.166026293433,62544.11942696732,210.27088095118432
ARIMA,5,1,4,93689.67081260991,253.09116818909396,8088.5776399488295,67794.26889186907,220.70813153999217
ARIMA,5,1,5,86454.23325835553,240.07986592311985,8074.285202608786,56464.80307652708,198.68122007203834
ARIMA,5,1,6,99019.38349808882,261.85541259423536,8060.472147699037,75332.7291408233,234.32693775749925
ARIMA,5,1,7,92113.56143060648,251.77834568504602,8044.24548475031,66316.76219773288,217.54760424176445
ARIMA,6,0,0,62646.29952011323,195.1022665152943,8182.390450165786,174484.9470903905,357.2158931752744
ARIMA,6,0,1,84765.95627058155,245.3680176710426,8155.688525190265,49161.265115279806,173.53721991042744
ARIMA,6,0,2,67264.43256603902,188.4386832581724,8150.27131562127,488334.9616779294,641.6543295794088
ARIMA,6,0,3,98996.24408423138,267.1646773185691,8168.038851794987,117342.87891521984,295.17740218068576
ARIMA,6,0,4,69484.04322239247,209.98932147478405,8112.11040368839,69902.32700597678,210.18799343205703
ARIMA,6,0,5,83646.00757301146,240.97247438941255,8094.933310228376,48757.45343223478,180.76215215696524
ARIMA,6,0,6,92293.17480012111,251.3628581874483,8085.6923664059395,51619.11563161569,187.28171554634577
ARIMA,6,0,7,97210.5852577195,258.44386269990997,8059.538838783822,81563.71106101855,245.26416111318042
ARIMA,6,1,0,97936.78216766482,266.45963158583965,8123.5876015815575,83847.30965745468,242.62730593460816
ARIMA,6,1,1,97644.11563766311,265.96995166390485,8125.3106756494035,83361.8007296065,241.81500292384533
ARIMA,6,1,2,90246.75310337153,245.98047242841898,8103.236437026253,61725.85871130662,208.9654562662345
ARIMA,6,1,3,90338.25756405825,245.68820643458096,8104.195431013703,61716.86375514045,208.74044077813363
ARIMA,6,1,4,90788.7882736165,245.60071275855663,8105.8304720112355,61958.172881427025,208.92432765783795
ARIMA,6,1,5,96349.09290973676,259.27001995305164,8080.815300281032,73345.70254171065,230.53041445581655
ARIMA,6,1,6,89229.18026060944,244.51363018567648,8055.185280699899,60665.939874202915,206.9812859341486
ARIMA,6,1,7,104339.3778550575,269.753454869351,8039.651528093236,79412.2014459138,240.06068878353028
ARIMA,7,0,0,78502.17750357543,233.55072359995137,8125.504866379308,50273.798014528045,174.36858744852518
ARIMA,7,0,1,76896.19060427205,230.46462106166632,8127.157952381285,52532.17841419342,179.2567621897924
ARIMA,7,0,2,72925.22923964846,222.98204670599114,8127.374377436736,62906.587317021316,200.09436421157815
ARIMA,7,0,3,75419.47551633818,208.604913278531,8102.986136564052,522852.29243169236,670.3299842385944
ARIMA,7,0,4,73941.1569756574,205.81636790862075,8104.574597109536,498852.4002383966,652.8767144404126
ARIMA,7,0,5,67047.50897957802,201.66203945053343,8089.939157538418,98551.71951694699,258.0990256158155
ARIMA,7,0,6,97742.28509693785,261.12192873326586,8078.742724102487,112456.70584951188,293.81105325757824
ARIMA,7,0,7,92233.76234523543,251.143536031656,8060.871458572759,51694.71600305201,187.45738255617943
ARIMA,7,1,0,97505.55240770217,265.7433501012595,8112.0391287205375,83131.12679241723,241.43046095455304
ARIMA,7,1,1,97123.81403873047,265.1165104587968,8113.744123237053,82565.06517687446,240.48927336211293
ARIMA,7,1,2,77898.70993597,215.59109080592324,8092.906366631013,42174.232029566134,161.22656123654824
ARIMA,7,1,3,90121.73434972245,246.61853363493242,8089.798110474729,62049.96120012508,209.57280929304548
ARIMA,7,1,4,7.61005518137712e+22,76615084839.17897,8867.455469155106,1.500034342762411e+84,1.79543025701913e+41
