model,p,d,q,MSE,MAE,AIC,ForeMSE,ForeMAE
ARIMAX,0,0,0,66016.76639034692,192.52142226708875,8166.199879641494,22544.87783996189,116.97943243029988
ARIMAX,0,0,1,66075.96972440624,192.69317018413156,8076.978940875129,22550.51465010867,116.99773035133526
ARIMAX,0,0,2,66124.75227915906,192.83593183280234,8055.094891308731,22549.691077616215,117.00223959777925
ARIMAX,0,0,3,66237.2280986714,192.99625263936,8034.065695242656,22721.094812798176,117.20326358722332
ARIMAX,0,0,4,66324.7410262051,193.27738489053237,8017.744885519822,22549.691981627286,117.00224067094555
ARIMAX,0,0,5,66266.55432180468,193.1490435168407,8006.594886100051,22555.394891527805,117.0074177420235
ARIMAX,0,0,6,66263.4655738628,193.15138344172425,7996.372874329934,22549.692674674436,117.00224136342597
ARIMAX,0,0,7,66296.74321888413,193.20102956823368,7985.138949452939,22554.64089838615,117.00633852828672
ARIMAX,0,1,0,127308.51198660754,283.7430577195914,8263.580728932593,61473.9129500383,200.14590971586415
ARIMAX,0,1,1,106198.49982815902,271.1192828624974,8100.747981491293,75994.59328287028,235.16658847140286
ARIMAX,0,1,2,95080.35488317997,257.92721905914937,8096.498638616778,66547.55767802788,215.58402053775794
ARIMAX,0,1,3,80648.01121791132,234.6486554374042,8081.993917288002,45007.17455176412,168.95212579607218
ARIMAX,0,1,4,79507.49797858,231.78342207527348,8065.221032245689,40630.97838233645,159.1033852573091
ARIMAX,0,1,5,79301.90755270467,230.73637448069627,8056.554097947877,38416.63226616525,154.10416247024142
ARIMAX,0,1,6,78797.7279501722,230.0526519517193,8053.788952923913,38964.49583883206,155.50668686529755
ARIMAX,0,1,7,79254.48638930911,231.24727469813524,8047.3412080055805,40542.84717532809,158.87563861413201
ARIMAX,1,0,0,67363.46240982738,195.0773036617301,8071.38466084757,22951.60233452334,117.71724223059653
ARIMAX,1,0,1,66152.69185495659,192.98829389892643,8056.022289704438,22549.693720269348,117.0022393856963
ARIMAX,1,0,2,66070.11307698002,192.82115753072873,8045.1982735489,22549.69544473914,117.00224174586369
ARIMAX,1,0,3,66216.21150486056,193.10388059747143,8033.484739667416,22549.70211306698,117.00224008718361
ARIMAX,1,0,4,66296.00279198449,193.22562589220033,8019.588779208281,22549.730998041596,117.0022469974494
ARIMAX,1,0,5,66222.3335789649,193.09768596078246,8008.397729251324,22549.91995275092,117.00234330160266
ARIMAX,1,0,6,66260.0590714751,193.13421027626526,7997.796662485638,22556.261737322533,117.00673448691093
ARIMAX,1,0,7,66251.96411849633,193.11489399451838,7987.042371603667,22549.78205821783,117.00220320932851
ARIMAX,1,1,0,89096.7862592122,245.00683533276558,8190.752036494992,55125.85711294828,193.61521764896287
ARIMAX,1,1,1,95838.12164009004,257.25514814402436,8077.903730141314,65657.51383584764,216.1546438712922
ARIMAX,1,1,2,78584.5352086774,221.10338686117598,8134.936061223516,32231.064237519033,141.26127230176536
ARIMAX,1,1,3,77135.578944871,222.7234277105192,8194.396731305418,45226.85513749609,170.1344134788138
ARIMAX,1,1,4,77149.56000930682,221.25793936998502,8183.081139281348,43977.34332802962,167.4228629518402
ARIMAX,1,1,5,79213.42109319042,232.0187023477255,8160.210748890955,51486.97697538352,182.4270527789868
ARIMAX,1,1,6,78895.8692982624,221.2505744766344,8093.174539713313,34660.925181320206,146.01797104892046
ARIMAX,1,1,7,75126.5828264125,217.7722796666379,8073.888248891752,34840.44811891868,146.6935084421509
ARIMAX,2,0,0,66370.29088530087,193.70382989715026,8056.554830059324,22781.31256793633,117.36183427026981
ARIMAX,2,0,1,66106.71708716768,192.89618383107575,8057.739721979635,22549.70923404948,117.00219750516062
ARIMAX,2,0,2,66098.7721058416,192.88641226042168,8046.257233096398,22549.85843014499,117.00223350852103
ARIMAX,2,0,3,66251.82559635745,193.16497964486496,8035.259354358561,22549.761491906072,117.0022459665701
ARIMAX,2,0,4,66275.9572781515,193.17295321080763,8021.285995803215,22557.614009181936,117.0079500097566
ARIMAX,2,0,5,66229.62691190926,193.10830272174002,8010.346716747506,22550.19309891481,117.00259023458742
ARIMAX,2,0,6,66240.12030717659,193.1046454816396,7999.618774404508,22549.951309239288,117.00233247715181
ARIMAX,2,0,7,70557.43784892451,200.80936535192447,7986.163174201027,22570.373124065452,117.00211175844431
ARIMAX,2,1,0,93525.39529296935,252.16087133824934,8136.065154469945,61455.71386614193,206.69788979880437
ARIMAX,2,1,1,77436.5889024035,227.04464255360742,8110.420907407227,36500.15681484246,150.06793187703965
ARIMAX,2,1,2,81406.2740466302,231.5426024929616,8063.599397941802,41748.697813309955,165.177312927373
ARIMAX,2,1,3,90370.57911818926,249.02704729523998,8168.893017381257,63257.940363763875,212.13862536011663
ARIMAX,2,1,4,76469.99821656074,219.69491116787583,8157.888257016772,40093.82192632559,159.02317357340536
ARIMAX,2,1,5,76804.70610890676,224.11186927149774,8150.58033785539,44287.803710371256,168.22146297472884
ARIMAX,2,1,6,81774.82496132923,230.1127434726301,8086.733187163621,46459.378004826125,176.03649360384307
ARIMAX,2,1,7,81595.13882430513,229.0163962919946,8092.501122501853,46422.18126993397,172.6517008345009
ARIMAX,3,0,0,66136.94902803581,192.95077794319084,8044.039729957623,22549.69292818312,117.00224096742586
ARIMAX,3,0,1,66131.74636433159,192.94004913888793,8046.036533380872,22549.7317693656,117.00224458983361
ARIMAX,3,0,2,66292.03936473557,193.18468189964904,8046.739940841643,22549.74426821205,117.00226122845493
ARIMAX,3,0,3,67385.9585880483,195.07283418644644,8033.080663984112,22534.57483230217,116.98163041536307
ARIMAX,3,0,4,66243.73996795787,193.1450322039433,8023.280433166811,22549.78119326961,117.00226575135827
ARIMAX,3,0,5,70763.89237097405,201.23525588878007,8008.856956710316,22550.758580734127,117.00314544176193
ARIMAX,3,0,6,66309.81379673448,193.221803198139,8001.50875499229,22555.72912113254,117.00629808029467
