,baseline
2018-01-01,930.5299999999999
2018-01-02,681.1000000000001
2018-01-03,794.63
2018-01-04,906.8700000000001
2018-01-05,1296.8350000000005
2018-01-06,1149.515
2018-01-07,940.155
2018-01-08,744.925
2018-01-09,639.705
2018-01-10,975.76
2018-01-11,737.8400000000001
2018-01-12,1044.05
2018-01-13,1183.7350000000001
2018-01-14,1106.1544444444446
2018-01-15,1036.1000000000001
2018-01-16,925.1249999999998
2018-01-17,835.83
2018-01-18,997.25
2018-01-19,1147.8016666666667
2018-01-20,1299.11
2018-01-21,1125.51
2018-01-22,1001.5149999999996
2018-01-23,1093.9099999999999
2018-01-24,1133.515
2018-01-25,1053.1800000000003
2018-01-26,1241.24
2018-01-27,1519.5550000000003
2018-01-28,1205.845
2018-01-29,1077.3650000000002
2018-01-30,1042.5749999999998
2018-01-31,1075.125
2018-02-01,1118.39
2018-02-02,1277.675
2018-02-03,1510.3850000000002
2018-02-04,1394.1200000000001
2018-02-05,1117.865
2018-02-06,1034.735
2018-02-07,1023.3300000000002
2018-02-08,997.94
2018-02-09,1199.615
2018-02-10,1394.3950000000004
2018-02-11,1419.385
2018-02-12,1154.4
2018-02-13,1233.4099999999999
2018-02-14,927.485
2018-02-15,1119.7168518518517
2018-02-16,1057.31
2018-02-17,1197.815
2018-02-18,1342.5099999999998
2018-02-19,1096.33
2018-02-20,962.54
2018-02-21,1308.25
2018-02-22,1224.3949999999998
2018-02-23,1373.2800000000002
2018-02-24,1427.085
2018-02-25,1370.84
2018-02-26,1210.1
2018-02-27,1112.9650000000001
2018-02-28,1172.1399999999999
2018-03-01,1140.885
2018-03-02,1368.9599999999998
2018-03-03,1016.65
2018-03-04,1087.52
2018-03-05,851.2149999999999
2018-03-06,951.8900000000001
2018-03-07,1237.9699999999998
2018-03-08,930.385
2018-03-09,1286.2
2018-03-10,1124.6349999999998
2018-03-11,1389.88
2018-03-12,1115.921290322581
2018-03-13,1320.7527486559143
2018-03-14,1087.0220294117648
2018-03-15,1233.9427486559143
2018-03-16,1296.489415322581
2018-03-17,1404.92
2018-03-18,1278.745
2018-03-19,808.605
2018-03-20,1352.07
2018-03-21,1207.0549999999998
2018-03-22,1278.835
2018-03-23,1351.7800000000002
2018-03-24,1423.62
2018-03-25,1414.375
2018-03-26,1006.19
2018-03-27,1045.7800000000002
2018-03-28,1056.595
2018-03-29,1148.519
2018-03-30,1301.85
2018-03-31,1545.045
2018-04-01,1611.685
2018-04-02,1214.29
2018-04-03,1243.8650000000002
2018-04-04,1505.81
2018-04-05,1058.7350000000001
2018-04-06,1339.395
2018-04-07,1310.65
2018-04-08,1339.8899999999999
2018-04-09,1135.93
2018-04-10,1136.0000000000002
2018-04-11,1352.965
2018-04-12,1274.935
2018-04-13,1455.3000000000002
2018-04-14,1785.795
2018-04-15,1357.67
2018-04-16,1154.21
2018-04-17,1355.645
2018-04-18,1299.8249999999998
2018-04-19,1176.355
2018-04-20,1578.02
2018-04-21,1498.085
2018-04-22,1400.02
2018-04-23,951.1400000000001
2018-04-24,1057.88
2018-04-25,964.71
2018-04-26,1334.6800000000003
2018-04-27,1529.0200000000002
2018-04-28,1513.605
2018-04-29,1825.9800000000005
2018-04-30,1200.535
2018-05-01,1313.67
2018-05-02,1416.0399999999997
2018-05-03,1188.325
2018-05-04,1314.48
2018-05-05,1362.6799999999998
2018-05-06,1490.29
2018-05-07,1112.085
2018-05-08,1243.6750000000002
2018-05-09,1111.545
2018-05-10,1171.9500000000003
2018-05-11,1409.0000000000005
2018-05-12,1449.875
2018-05-13,1449.42
2018-05-14,1185.77
2018-05-15,1423.1950000000002
2018-05-16,1340.7300000000005
2018-05-17,1152.7150000000001
2018-05-18,1558.1950000000002
2018-05-19,1616.895
2018-05-20,1455.7244444444445
2018-05-21,1140.9650000000001
2018-05-22,1197.4699999999998
2018-05-23,1179.1900000000005
2018-05-24,1301.8850000000002
2018-05-25,1329.49
2018-05-26,1391.8850000000002
2018-05-27,1074.465
2018-05-28,1253.3950000000004
2018-05-29,981.09
2018-05-30,803.01
2018-05-31,974.6100000000001
2018-06-01,1208.855
2018-06-02,1240.0800000000002
2018-06-03,1217.06
