Date,11:00:00,12:00:00,13:00:00,14:00:00,15:00:00,16:00:00,17:00:00,18:00:00,19:00:00,20:00:00,21:00:00,22:00:00,23:00:00,Daily
2016-01-04,16.39,36.269999999999996,78.67999999999999,51.44,57.7,148.93,74.55,50.339999999999996,56.02,79.35,58.33999999999999,31.68,0.0,739.6899999999999
2016-01-05,22.45,27.75,7.25,30.64,100.67000000000002,149.72000000000003,43.14,68.53,93.65,75.89999999999999,27.450000000000003,31.700000000000003,0.0,678.8500000000001
2016-01-06,33.59,41.480000000000004,111.56,92.00000000000001,94.83000000000001,94.27,45.26,70.35000000000001,57.22,52.53,46.870000000000005,49.120000000000005,0.0,789.08
2016-01-07,8.4,23.3,54.489999999999995,42.28,116.13000000000002,101.65000000000002,52.040000000000006,47.96,128.00000000000003,77.00999999999999,91.02000000000001,75.42000000000002,0.0,817.7
2016-01-08,27.25,86.0,48.339999999999996,65.21,186.2,158.67,93.76,117.30000000000001,143.23,105.69999999999999,182.96000000000004,89.71000000000001,64.12,1368.4500000000003
2016-01-09,15.700000000000001,88.04,79.59,142.73000000000002,161.16,75.23,110.65,66.69999999999999,74.14,89.93999999999998,78.05,89.77,27.699999999999996,1099.4
2016-01-10,52.699999999999996,40.33,109.70000000000002,100.45,140.85,88.12,136.35,133.73000000000002,109.64000000000001,72.14,64.06,35.55,0.0,1083.6200000000001
2016-01-11,11.35,38.550000000000004,61.449999999999996,91.62,138.37,88.72999999999999,39.83,68.59,68.12,84.10999999999999,37.74,43.39,0.0,771.85
2016-01-12,10.85,65.56,70.7,72.27,87.73,115.79,76.6,43.910000000000004,85.32000000000001,82.95000000000002,48.669999999999995,53.99,0.0,814.34
2016-01-13,16.95,44.65,84.48,99.70000000000002,97.6,149.71000000000004,40.18,50.5,94.80000000000001,83.69,152.06,72.53999999999999,0.0,986.8599999999999
2016-01-14,11.9,28.830000000000002,33.79,41.599999999999994,83.27000000000001,106.11999999999999,60.03999999999999,95.85000000000001,26.29,53.379999999999995,86.5,59.81,0.0,687.3799999999999
2016-01-15,24.2,49.39999999999999,83.08999999999999,32.1,156.48000000000002,141.42000000000002,96.58,92.63,107.22999999999999,104.19,96.43,78.16,15.95,1077.8600000000001
2016-01-16,43.51,34.35,115.03000000000002,108.92000000000002,117.72,169.85000000000002,98.63000000000001,60.230000000000004,116.10999999999999,99.41999999999999,110.07,49.44,19.49,1142.7700000000002
2016-01-17,35.5,73.23,60.040000000000006,101.64000000000001,93.58000000000001,105.19000000000001,43.199999999999996,83.15777777777777,83.98925925925924,83.24555555555554,78.58740740740741,57.598888888888894,0.0,898.9588888888891
2016-01-18,39.05,68.99000000000001,76.75,142.29999999999998,126.47,100.03000000000002,107.72000000000001,78.88,66.02999999999999,98.21000000000001,51.44,34.78,0.0,990.6500000000001
2016-01-19,34.55,83.31000000000002,61.489999999999995,92.04,96.2,132.48000000000002,50.279999999999994,136.71,56.78999999999999,58.779999999999994,61.129999999999995,40.43,0.0,904.1899999999998
2016-01-20,47.95,92.35000000000001,118.08000000000004,123.37,120.16000000000001,111.87000000000002,128.66000000000003,99.47,72.13000000000001,99.83000000000001,38.45,90.83,0.0,1143.15
2016-01-21,73.79,64.47,67.16999999999999,72.35,134.94000000000003,123.63000000000001,145.73000000000002,34.559999999999995,64.94,96.78999999999999,112.94,43.55,0.0,1034.8600000000001
2016-01-22,92.73,86.36999999999999,114.71999999999998,90.41999999999999,127.12000000000002,111.16000000000001,121.79,102.27000000000001,79.08000000000001,114.83000000000001,74.89,67.18,29.270000000000003,1211.8300000000002
2016-01-23,70.52,97.30999999999997,76.47,151.84000000000003,142.27,108.13999999999997,114.96000000000001,100.99999999999999,35.15,122.33000000000001,110.84000000000002,110.91999999999999,51.099999999999994,1292.85
2016-01-24,53.080000000000005,46.19,142.70000000000005,128.14,149.34999999999997,148.59,130.5,118.33000000000003,156.32000000000002,123.58999999999999,91.0,20.8,0.0,1308.59
2016-01-25,42.05,135.16000000000003,176.04,56.45,111.50000000000001,174.32000000000005,91.33,104.6,59.74999999999999,59.79,42.09,77.6,0.0,1130.6799999999998
2016-01-26,142.68,97.62,66.16,106.9,140.16,111.74,99.6,93.18,51.76,85.15,56.68,105.41,0.0,1157.04
2016-01-27,98.06,121.31,121.22,120.36,136.89,133.74,78.62,110.83,115.18,29.49,81.96,40.94,0.0,1188.6000000000001
2016-01-28,71.87,67.81,66.2,102.14,58.3,95.09,82.87,81.07,44.36,69.46,85.22,27.27,0.0,851.66
2016-01-29,29.74,71.26,80.78,72.89,53.59,86.08,37.83,51.18,124.59,56.55,68.79,32.0,92.53,857.81
2016-01-30,59.53,114.09,84.96,112.51,85.36,192.04,125.72,115.11,126.2,102.24,80.53,42.7,41.7,1282.69
2016-01-31,40.95,60.08,162.64,108.94,112.27,116.77,82.55,51.45,55.66,70.28,85.68,60.48,0.0,1007.75
2016-02-01,63.04,84.7,77.55,81.45,135.9,93.3,94.55,83.67,91.56,23.6,101.24,4.0,0.0,934.5600000000001
2016-02-02,90.67,45.15,107.46,44.94,91.11,78.59,94.69,66.62,27.33,50.8,110.52,44.65,0.0,852.53
2016-02-03,79.44,77.27,90.09,160.41,69.88,162.73,104.71,92.15,101.18,23.2,70.72,34.83,0.0,1066.6100000000001
2016-02-04,83.15,65.06,91.17,150.02,114.16,154.91,113.86,82.57,94.24,75.43,55.34,60.23,0.0,1140.1399999999999
2016-02-05,103.65,173.53,160.48,123.32,89.59,130.58,121.99,116.48,59.08,46.6,91.27,143.58,80.71,1440.86
2016-02-06,89.03,181.05,136.88,211.74,139.43,149.11,129.99,90.65,92.92,41.05,157.08,150.68,64.14,1633.7500000000002
2016-02-07,96.38,143.24,158.54,220.52,252.42,166.98,79.1,87.32,81.55,213.1,164.82,114.16,0.0,1778.1299999999999
2016-02-08,102.1,180.96,202.77,149.91,202.16,124.52,77.64,106.44,61.0,107.52,117.31,50.64,0.0,1482.97
2016-02-09,80.29,95.68,74.56,130.42,130.83,206.57,96.49,109.5,92.96,107.98,72.09,63.24,0.0,1260.61
2016-02-10,115.88,100.6,122.42,89.8,147.26,107.3,105.69,153.33,74.18,78.42,70.45,65.05,0.0,1230.38
2016-02-11,81.06,140.5,82.06,76.57,117.52,147.41,85.95,119.82,83.61,38.89,94.05,77.7,0.0,1145.14
2016-02-12,43.21,48.7,55.76,79.3,109.73,138.41,60.65,67.49,109.57,140.59,99.15,84.29,43.25,1080.1
2016-02-13,36.3,89.71,146.7,130.22,174.57,146.23,150.32,49.21,71.8,83.0,136.43,84.06,50.35,1348.8999999999999
2016-02-14,61.92,98.48,202.6,118.86,165.31,103.16,88.11,42.08,118.19,122.91,136.4,68.82,0.0,1326.8400000000001
2016-02-15,97.02,92.36,146.34,137.62,169.02,132.07,129.36,112.23,131.27,78.79,105.46,58.03,0.0,1389.5700000000002
2016-02-16,57.14,111.23,101.08,85.35,156.6,125.62,123.02,128.25,65.36,103.63,61.88,33.68,0.0,1152.8400000000001
2016-02-17,43.48,123.24,91.27,108.1,69.75,81.78,41.34,68.58,17.7,55.54,87.36,8.15,0.0,796.29
2016-02-18,116.78,127.31,114.85,139.74,122.21,148.29,56.85,43.04,85.50296296296295,86.32296296296293,92.11629629629631,74.71148148148147,0.0,1207.7237037037037
2016-02-19,123.91,86.12,61.83,55.17,82.78,163.13,97.78,96.19,108.86,114.76,75.77,104.07,59.17,1229.54
2016-02-20,45.2,74.24,112.72,191.08,121.17,117.29,166.51,69.71,75.28,114.34,45.2,51.84,39.5,1224.08
2016-02-21,102.29,76.7,110.22,170.39,184.88,162.94,202.65,104.36,94.78,136.08,99.79,56.89,0.0,1501.9699999999998
2016-02-22,80.85,126.76,58.01,125.86,146.59,245.73,77.4,98.78,140.4,41.84,58.79,111.77,0.0,1312.78
2016-02-23,82.48,108.14,90.22,127.38,161.38,98.02,88.52,94.76,74.38,72.35,83.29,61.3,0.0,1142.22
