model,R2,MSE,MAE,smape,AIC
ARIMA600,0.19535591366163874,62646.29952011323,195.1022665152943,15.184628380285208,8182.390450165786
ARIMA602,0.1360395059281715,67264.43256603902,188.4386832581724,14.647868767359803,8150.27131562127
ARIMA1000,0.07544575276348087,71982.01450599598,220.92099674440786,17.243152919422865,8091.192979403077
ARIMA808,-0.10969601657363293,86396.39588591365,236.98315376158524,18.320195937104256,8025.733352252946
SARIMA003200,0.23095709877867765,59874.5367693768,185.9108452028837,14.511141688274165,8110.910367399026
SARIMA101002,0.2147348737819631,61137.532898076985,178.74982350392835,13.808875321855387,8071.853298268574
SARIMA103013,-0.050122069518073964,81758.21188108082,222.37138189268646,17.35535402385477,7680.817211322488
HES,-0.11106255910948049,86502.78930191109,241.07512773083783,18.582389992479744,6406.942791508538
ARIMAX000,0.15206482933410903,66016.76639034692,192.52142226708875,15.073790616662722,8166.199879641494
ARIMAX904,0.1604654370772226,65362.729409573316,192.65589780088615,15.099206641894401,7985.319400741722
ARIMAX1010,0.08975485513051595,70867.96628521245,201.28209395578168,15.766969667282938,7949.0680667949955
SARIMAX00,0.15352143989430145,65903.36064613369,191.998002965934,15.025532509418955,8076.731427022527
SARIMAX12,-0.02319039783658794,79661.42200915942,214.53975401980716,16.738782026087485,7813.190722431233
