model,p,d,q,P,D,Q,MSE,MAE,AIC,ForeMSE,ForeMAE
SARIMA,0,0,0,0,0,0,1712958.805,1278.711419,8023.303576,1521734.682,1216.378437
SARIMA,0,0,0,0,0,1,1642555.533,1244.000205,8023.303576,1521734.682,1216.378437
SARIMA,0,0,0,0,0,2,1571428.792,1212.145731,8023.303576,1521734.682,1216.378437
SARIMA,0,0,0,0,1,0,150874.0669,319.6335412,8023.303576,118132.4943,279.9696668
SARIMA,0,0,0,0,1,1,83318.0599,223.6822535,8023.303576,30872.4321,137.8258694
SARIMA,0,0,0,0,1,2,83497.03155,223.8954457,8023.303576,30895.37471,138.1441032
SARIMA,0,0,0,1,0,0,76050.34914,212.5285143,8023.303576,443834.8149,612.0882612
SARIMA,0,0,0,1,0,1,81882.91621,226.1709373,8023.303576,34222.86385,146.1206095
SARIMA,0,0,0,1,0,2,81790.15276,225.4456686,8023.303576,32515.97007,141.7177804
SARIMA,0,0,0,1,1,0,114685.3784,283.4504163,8023.303576,90753.93509,252.237033
SARIMA,0,0,0,1,1,1,83082.93692,223.3519262,8023.303576,30912.19292,138.1867096
SARIMA,0,0,0,1,1,2,81882.84507,221.8682958,8023.303576,30850.67418,137.9016602
SARIMA,0,0,0,2,0,0,85399.63761,240.5638222,8023.303576,46559.0388,166.1278389
SARIMA,0,0,0,2,0,1,81523.07662,224.8748267,8023.303576,32361.31952,141.3167534
SARIMA,0,0,0,2,0,2,81099.58851,223.5285658,8023.303576,31633.71135,139.3062939
SARIMA,0,0,0,2,1,0,96828.84388,258.6617472,8023.303576,66543.13486,211.1874238
SARIMA,0,0,0,2,1,1,81385.93295,220.8350589,8023.303576,30869.27341,137.9964015
SARIMA,0,0,0,2,1,2,82281.68145,221.7558073,8023.303576,30896.44344,138.1614928
SARIMA,0,0,1,0,0,0,1704391.189,1274.347166,8023.303576,1521734.682,1216.378437
SARIMA,0,0,1,0,0,1,1638370.262,1243.048387,8023.303576,1521734.682,1216.378437
SARIMA,0,0,1,0,0,2,1569707.289,1211.009449,8023.303576,1521734.682,1216.378437
SARIMA,0,0,1,0,1,0,147383.7463,315.443979,8023.303576,113662.5337,272.7223144
SARIMA,0,0,1,0,1,1,83376.15957,223.7386117,8023.303576,30860.25286,137.8741923
SARIMA,0,0,1,0,1,2,83344.55139,223.724186,8023.303576,30871.13694,138.1043886
SARIMA,0,0,1,1,0,0,111162.7727,262.4295439,8023.303576,836862.6252,871.0686104
SARIMA,0,0,1,1,0,1,81867.57198,225.7736854,8023.303576,33023.04332,142.9755858
SARIMA,0,0,1,1,0,2,81738.81023,225.2499635,8023.303576,32177.67775,140.7601866
SARIMA,0,0,1,1,1,0,114099.6551,282.4845714,8023.303576,90131.19581,251.0938979
SARIMA,0,0,1,1,1,1,83271.16335,223.5104255,8023.303576,30903.35751,138.2322463
SARIMA,0,0,1,1,1,2,82491.04712,222.7179925,8023.303576,30844.87937,137.9297165
SARIMA,0,0,1,2,0,0,66662.84437,203.5200162,8023.303576,143811.9437,325.7882128
SARIMA,0,0,1,2,0,1,81581.45607,225.1118794,8023.303576,32455.65016,141.5114609
SARIMA,0,0,1,2,0,2,81100.84507,224.5159213,8023.303576,32662.74586,142.1180481
SARIMA,0,0,1,2,1,0,96016.51258,257.7009208,8023.303576,65702.24049,209.9840332
SARIMA,0,0,1,2,1,1,82035.42922,221.7217331,8023.303576,30877.06372,138.0387464
SARIMA,0,0,1,2,1,2,82818.42334,222.4606742,8023.303576,30898.94707,138.2488104
SARIMA,0,0,2,0,0,0,1698273.107,1271.219679,8023.303576,1521734.682,1216.378437
SARIMA,0,0,2,0,0,1,1640600.342,1245.152268,8023.303576,1521734.682,1216.378437
SARIMA,0,0,2,0,0,2,1572839.06,1213.11527,8023.303576,1521734.682,1216.378437
SARIMA,0,0,2,0,1,0,144884.4601,313.3578117,8023.303576,111514.174,271.4540728
SARIMA,0,0,2,0,1,1,83582.00509,223.9581583,8023.303576,30870.49201,138.0032597
SARIMA,0,0,2,0,1,2,83399.58428,223.8392871,8023.303576,30875.03327,138.1101851
SARIMA,0,0,2,1,0,0,146722.7824,316.990887,8023.303576,997882.5803,961.2551734
SARIMA,0,0,2,1,0,1,83267.26512,223.0242142,8023.303576,30938.37522,138.0110691
SARIMA,0,0,2,1,0,2,81840.63343,225.1460806,8023.303576,31907.70397,140.070686
SARIMA,0,0,2,1,1,0,113596.5911,282.1212305,8023.303576,89790.39701,250.9076062
SARIMA,0,0,2,1,1,1,83372.85227,223.7225284,8023.303576,30903.679,138.2741379
SARIMA,0,0,2,1,1,2,82743.30884,223.0745423,8023.303576,30851.70052,137.9403253
SARIMA,0,0,2,2,0,0,61517.18209,192.5503699,8023.303576,226068.4305,419.6766253
SARIMA,0,0,2,2,0,1,81787.38815,225.1510842,8023.303576,32085.04959,140.54717
SARIMA,0,0,2,2,0,2,81604.3406,225.7835537,8023.303576,33638.46334,145.0108325
SARIMA,0,0,2,2,1,0,95617.75014,257.1577643,8023.303576,65103.64731,208.9640562
SARIMA,0,0,2,2,1,1,82476.32594,222.3933841,8023.303576,30882.15763,138.0801537
SARIMA,0,0,2,2,1,2,82388.72535,222.4735402,8023.303576,30854.24713,137.9693718
SARIMA,0,0,3,0,0,0,1697799.877,1271.222391,8023.303576,1521734.682,1216.378437
SARIMA,0,0,3,0,0,1,1639171.043,1243.211235,8023.303576,1521734.682,1216.378437
SARIMA,0,0,3,0,0,2,1578859.722,1215.960402,8023.303576,1521734.682,1216.378437
SARIMA,0,0,3,0,1,0,147201.1862,315.3777393,8023.303576,114159.2906,273.8526898
SARIMA,0,0,3,0,1,1,83811.65105,224.4737733,8023.303576,30874.19481,138.0748082
SARIMA,0,0,3,0,1,2,83379.37591,224.1325377,8023.303576,30852.23252,137.9730818
SARIMA,0,0,3,1,0,0,162870.0247,339.8036154,8023.303576,1048639.874,988.3472866
SARIMA,0,0,3,1,0,1,82060.16934,226.2961331,8023.303576,32681.10783,142.1950693
SARIMA,0,0,3,1,0,2,81912.93189,225.2316933,8023.303576,31728.58434,139.5949475
SARIMA,0,0,3,1,1,0,115676.5434,285.1617875,8023.303576,92276.25235,254.8367227
SARIMA,0,0,3,1,1,1,83477.51488,224.1385102,8023.303576,30882.7292,138.1490037
SARIMA,0,0,3,1,1,2,83098.87873,223.8222496,8023.303576,30843.92509,137.9159112
SARIMA,0,0,3,2,0,0,59874.53677,185.9108452,8023.303576,325822.8032,514.2508599
SARIMA,0,0,3,2,0,1,82127.35279,226.1367232,8023.303576,32412.6814,141.4584667
SARIMA,0,0,3,2,0,2,82737.76182,228.9228858,8023.303576,37913.73463,154.9114725
SARIMA,0,0,3,2,1,0,96774.51809,259.5532462,8023.303576,66549.4619,212.0359619
SARIMA,0,0,3,2,1,1,82844.83506,223.2154937,8023.303576,30887.43547,138.102573
SARIMA,0,0,3,2,1,2,83132.64101,223.2694406,8023.303576,30888.43241,138.1600747
SARIMA,0,0,4,0,0,0,1690347.518,1264.62362,8023.303576,1521734.682,1216.378437
SARIMA,0,0,4,0,0,1,1631008.675,1238.543356,8023.303576,1521734.682,1216.378437
SARIMA,0,0,4,0,0,2,1551759.484,1204.36686,8023.303576,1521734.682,1216.378437
SARIMA,0,0,4,0,1,0,120814.6373,282.279405,8023.303576,84543.52398,232.4343415
SARIMA,0,0,4,0,1,1,83533.84945,224.4132825,8023.303576,30862.7858,137.9028164
SARIMA,0,0,4,0,1,2,83287.07781,224.023708,8023.303576,30850.1678,137.9547948
SARIMA,0,0,4,1,0,0,383917.3539,564.2859765,8023.303576,1360981.64,1143.033769
SARIMA,0,0,4,1,0,1,81976.44184,226.5300634,8023.303576,33449.62011,144.1202292
SARIMA,0,0,4,1,0,2,95792.77962,250.6437505,8023.303576,123914.5181,302.0603833
SARIMA,0,0,4,1,1,0,118559.3037,287.406905,8023.303576,94405.27778,257.3299675
SARIMA,0,0,4,1,1,1,83565.2439,224.0736851,8023.303576,30908.19735,138.2367724
SARIMA,0,0,4,1,1,2,82983.03593,223.7018539,8023.303576,30839.40547,137.8865395
SARIMA,0,0,4,2,0,0,60118.32101,188.3368363,8023.303576,285464.6856,477.5208703
SARIMA,0,0,4,2,0,1,81329.21886,221.7193448,8023.303576,30942.64164,137.7901526
SARIMA,0,0,4,2,0,2,80370.65048,217.2628097,8023.303576,44567.9961,165.3295749
SARIMA,0,0,4,2,1,0,98945.95805,262.2288971,8023.303576,68509.00834,215.3187391
SARIMA,0,0,4,2,1,1,82760.625,223.0631058,8023.303576,30892.15844,138.1188723
SARIMA,0,0,4,2,1,2,82581.62877,222.9454459,8023.303576,30848.87408,137.951062
SARIMA,0,0,5,0,0,0,1666330.897,1252.709004,8023.303576,1521734.682,1216.378437
SARIMA,0,0,5,0,0,1,1611919.305,1230.111823,8023.303576,1521734.682,1216.378437
SARIMA,0,0,5,0,0,2,1547446.43,1202.080193,8023.303576,1521734.682,1216.378437
SARIMA,0,0,5,0,1,0,115981.6547,278.3780337,8023.303576,79365.65834,223.2902444
SARIMA,0,0,5,0,1,1,83591.6495,224.1979402,8023.303576,30881.88951,138.0343635
SARIMA,0,0,5,0,1,2,83155.0104,223.7907247,8023.303576,30852.68758,137.9551951
SARIMA,0,0,5,1,0,0,440504.769,610.064335,8023.303576,1398425.465,1160.412259
SARIMA,0,0,5,1,0,1,82413.31206,225.0833619,8023.303576,31359.88849,138.7807101
SARIMA,0,0,5,1,0,2,728029.5931,815.2029882,8023.303576,1444698.313,1182.081402
SARIMA,0,0,5,1,1,0,117630.0514,286.2235259,8023.303576,93449.07171,256.1009606
SARIMA,0,0,5,1,1,1,83409.7066,223.8636467,8023.303576,30905.76395,138.2159136
SARIMA,0,0,5,1,1,2,83044.12832,223.6744864,8023.303576,30848.35044,137.9299939
SARIMA,0,0,5,2,0,0,61349.12521,186.1248352,8023.303576,380996.8085,561.4036848
SARIMA,0,0,5,2,0,1,78399.19583,222.2316788,8023.303576,38702.15869,151.4002002
SARIMA,0,0,5,2,0,2,81797.012,227.1808831,8023.303576,35252.22327,148.6617546
SARIMA,0,0,5,2,1,0,98642.79741,261.591005,8023.303576,68188.61084,214.7564623
