model,p,d,q,P,D,Q,MSE,MAE,AIC,ForeMSE,ForeMAE
SARIMAX,0,0,0,0,0,0,66016.76639034692,192.52142226708875,8166.199879641494,22544.87783996189,116.97943243029988
SARIMAX,0,0,0,0,0,1,66037.68985093864,192.57006184433698,8075.645116493661,22549.690217137904,117.00223889940597
SARIMAX,0,0,0,0,1,0,208827.27509709136,379.50987862013994,8455.392713112935,158386.3831809836,331.3794404565999
SARIMAX,0,0,0,0,1,1,71400.2951674139,200.0949678062154,8022.909815005371,23777.214253164857,119.47720248461653
SARIMAX,0,0,0,1,0,0,65986.38828158329,192.24013231634254,8088.224670694382,22565.935833752803,116.9636087113375
SARIMAX,0,0,0,1,0,1,65903.36064613369,191.998002965934,8076.731427022527,22572.938282241455,116.9132714088671
SARIMAX,0,0,0,1,1,0,193228.06487628896,373.9273745308086,8234.873968354968,155484.20015299413,349.6251142585855
SARIMAX,0,0,0,1,1,1,67552.37037174369,194.8884805259636,8019.842710941552,22828.219180704218,117.60335433014748
SARIMAX,0,0,1,0,0,0,66075.96972440624,192.69317018413156,8076.978940875129,22550.51465010867,116.99773035133526
SARIMAX,0,0,1,0,0,1,66053.18757623539,192.6406706621139,7987.256242648911,22549.758310226527,116.99387040346258
SARIMAX,0,0,1,0,1,0,181688.64668584312,352.70754992934803,8368.796902733884,137840.5627484824,304.46042663934725
SARIMAX,0,0,1,0,1,1,72929.41965466613,202.46458558197543,7932.164575579136,24111.914333152297,120.48911297640443
SARIMAX,0,0,1,1,0,0,66055.49171908267,192.64183041712107,8012.701857303289,22551.331049772067,117.00060478914827
SARIMAX,0,0,1,1,0,1,66046.0971199071,192.63550443298584,7989.307881045186,22549.690230194767,117.00217657355101
SARIMAX,0,0,1,1,1,0,132714.85092136552,306.22545097069127,8159.60857923273,104464.89643378073,276.4014263716169
SARIMAX,0,0,1,1,1,1,73694.25176796658,203.8663877548553,7933.562053789329,24420.61621450119,121.38808977472483
SARIMAX,0,0,2,0,0,0,66124.75227915906,192.83593183280234,8055.094891308731,22549.691077616215,117.00223959777925
SARIMAX,0,0,2,0,0,1,66056.50121405593,192.45767512655974,7965.06253363546,22624.064637518473,117.03159173636587
SARIMAX,0,0,2,0,1,0,144858.37045636633,313.3311757815854,8358.579891658926,111518.82886653434,271.4636099990279
SARIMAX,0,0,2,0,1,1,73124.14237951404,202.71773703103315,7910.594749886635,24226.755882383874,120.80466085412056
SARIMAX,0,0,2,1,0,0,66103.92415572054,192.78313732898891,8003.513919335362,22553.487356583184,117.00465373147392
SARIMAX,0,0,2,1,0,1,66093.30011970724,192.7715429377103,7967.16626444684,22549.702758128085,117.0021778013115
SARIMAX,0,0,2,1,1,0,113898.75403992982,282.5506835273023,8159.05778379408,90050.61818724217,251.42176711437165
